company,metric,fiscal_quarter,old_value_codex,new_value_factset,source
RRC,Total Production,Q2 2024,2152.946,2152.948,FactSet E&P Company Model.xlsx (Actual)
RRC,Total Production,Q4 2024,2202.5,2202.502,FactSet E&P Company Model.xlsx (Actual)
RRC,Total Production,Q1 2025,2200.276,2200.2729999999997,FactSet E&P Company Model.xlsx (Actual)
RRC,Total Production,Q2 2025,2197.321,2197.317,FactSet E&P Company Model.xlsx (Actual)
RRC,Total Production,Q3 2025,2227.831,2227.833,FactSet E&P Company Model.xlsx (Actual)
RRC,Total Production,Q4 2025,2316.485,2316.483,FactSet E&P Company Model.xlsx (Actual)
RRC,Total Production,Q1 2026,2207.436,2207.434,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Natural Gas Price,Q1 2024,2.05,2.96,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Natural Gas Price,Q2 2024,1.54,2.47,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Natural Gas Price,Q3 2024,1.69,2.48,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Natural Gas Price,Q4 2024,2.434960409,2.9,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Natural Gas Price,Q1 2025,3.61,3.64,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Natural Gas Price,Q2 2025,2.92,3.13,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Natural Gas Price,Q3 2025,2.56,2.96,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Natural Gas Price,Q4 2025,3.259372,3.43,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Natural Gas Price,Q1 2026,5.18,4.85,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized NGL Price,Q1 2024,26.24,26.23,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized NGL Price,Q2 2024,24.35,24.56,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized NGL Price,Q3 2024,25.96,26.09,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized NGL Price,Q4 2024,26.42703,26.47,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized NGL Price,Q1 2025,27.79,27.75,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized NGL Price,Q2 2025,23.73,23.88,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized NGL Price,Q3 2025,22.09,22.48,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized NGL Price,Q4 2025,23.09904,23.1,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Oil / Condensate Price,Q1 2024,64.64,67.16,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Oil / Condensate Price,Q2 2024,68.32,68.12,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Oil / Condensate Price,Q3 2024,64.03,69.73,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Oil / Condensate Price,Q4 2024,59.64503,70.66,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Oil / Condensate Price,Q1 2025,61.12,61.72,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Oil / Condensate Price,Q2 2025,52.77,54.22,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Oil / Condensate Price,Q3 2025,54.25,57.61,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Oil / Condensate Price,Q4 2025,47.81236,47.81,FactSet E&P Company Model.xlsx (Actual)
RRC,Realized Oil / Condensate Price,Q1 2026,63.3,58.41,FactSet E&P Company Model.xlsx (Actual)
RRC,Revenue,Q1 2024,645.456,645.369,FactSet E&P Company Model.xlsx (Actual)
RRC,Revenue,Q2 2024,530.109,530.043,FactSet E&P Company Model.xlsx (Actual)
RRC,Revenue,Q3 2024,615.102,615.033,FactSet E&P Company Model.xlsx (Actual)
RRC,Revenue,Q2 2025,856.275,732.891,FactSet E&P Company Model.xlsx (Actual)
RRC,Revenue,Q3 2025,748.528,717.621,FactSet E&P Company Model.xlsx (Actual)
